"Series Data"
"C:\Users\adcp-user\Documents\ADCP data\OC4920_2025\OC4920_2025_20250506T095214_002_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	75
"Time/Ping = 00:00.00"
"First Ensemble Date = 25/05/06"
"First Ensemble Time = 09:52:43.01"
"Ensemble Interval (s) = "	300,04
"1st Bin Range (m) = "	12,23
"Bin Size (m) ="	4,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Pit"	"Rol"	"Hea"	"Dep"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"deg"	"deg"	"deg"	"m"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	     "deg"	     "deg"	     "deg"	     "deg"
													1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10

38	25	05	06	12	57	46	07		-0,15	-0,28	234,79	0,000																					57,41745570	11,08600396	57,40616192	11,06849986
39	25	05	06	13	02	45	02		-0,26	-0,84	240,73	0,000	416										66										57,40612227	11,06843817	57,39573123	11,03996568
40	25	05	06	13	07	43	09		-0,28	-0,81	265,87	0,000																					57,39660001	11,04558332	57,39303335	11,01250003
41	25	05	06	13	12	43	08		-0,18	-0,64	267,49	0,000	279										215										57,39303553	11,01262542	57,39153332	10,98776663
42	25	05	06	13	17	43	06		-0,25	-0,65	268,70	0,000	-56										-29										57,39151664	10,98766663	57,39023505	10,96285251
43	25	05	06	13	22	45	03		-0,17	-0,63	271,14	0,000	-271										157										57,39023505	10,96285251	57,38919997	10,93550001
44	25	05	06	13	27	43	09		-0,06	-0,39	274,06	0,000																					57,38918731	10,93462000	57,38786666	10,91465003
45	25	05	06	13	32	43	05		0,16	-0,04	359,14	0,000																					57,38786666	10,91465003	57,38783330	10,91449999
46	25	05	06	13	37	44	08		0,15	0,27	13,17	0,000																					57,38775359	10,91449304	57,38775099	10,91448499
47	25	05	06	13	42	45	07		0,09	0,55	20,14	0,000																					57,38775166	10,91448482	57,38777060	10,91448650
48	25	05	06	13	47	45	04		-0,09	0,37	85,13	0,000	2184										94										57,38777672	10,91448926	57,38868071	10,93865345
49	25	05	06	13	52	44	01		-0,17	0,65	82,69	0,000	-79										-10										57,38843336	10,93255000	57,38960003	10,96011666
50	25	05	06	13	57	46	02		-0,24	0,75	78,46	0,000	-440										6										57,38962577	10,96063541	57,39139996	10,99398332
51	25	05	06	14	02	43	08		-0,20	0,69	72,97	0,000																					57,39086084	10,98796486	57,39333333	11,01585003
52	25	05	06	14	07	44	04		-0,22	1,12	64,49	0,000																					57,39333333	11,01585003	57,39801320	11,04066993
53	25	05	06	14	12	45	03		-0,21	0,80	31,13	0,000	-25										-529										57,39850002	11,04135004	57,41320004	11,05878331
54	25	05	06	14	17	46	02		-0,21	0,84	20,63	0,000	1054	1198									2423	2437									57,41323331	11,05883335	57,42362645	11,06661502
55	25	05	06	14	22	44	03		-0,26	0,04	313,72	0,000																					57,42362645	11,06661502	57,43266667	11,04953337
56	25	05	06	14	27	46	04		-0,17	-0,82	294,12	0,000																					57,43267824	11,04949214	57,43667289	11,02473702
57	25	05	06	14	32	45	08		-0,25	-0,91	291,08	0,000	1145										-354										57,43688034	11,02347010	57,44171904	10,99360068
58	25	05	06	14	37	47	05		-0,16	-0,83	289,28	0,000																					57,44177411	10,99325418	57,44503333	10,97299998
59	25	05	06	14	42	45	06		-0,20	-0,74	294,40	0,000	99	-124	-523								29	42	202								57,44505001	10,97291666	57,44935085	10,94745881
60	25	05	06	14	47	44	07		-0,17	-0,72	294,12	0,000	1	57	-12	-434	-1604						-23	33	-22	69	428						57,44940257	10,94720257	57,45392351	10,92392905
61	25	05	06	14	52	45	06		0,07	-0,14	345,55	0,000	42	95	35	-34	-183						37	58	68	54	179						57,45395704	10,92365605	57,45609996	10,91705002
62	25	05	06	14	57	46	09		0,10	0,27	342,40	0,000	4	48	16	22	-2						-26	17	-9	-18	17						57,45603215	10,91705547	57,45604103	10,91704524
63	25	05	06	15	02	44	04		0,09	0,21	343,55	0,000	41	28	50	-6	-38						-83	-1	-63	-19	32						57,45604103	10,91704524	57,45618721	10,91693225
64	25	05	06	15	07	45	02		0,03	0,31	358,28	0,000	38	39	79	52	-24						-13	-2	-58	28	893						57,45618336	10,91693334	57,46381802	10,91743793
65	25	05	06	15	12	43	05		-0,19	0,32	0,15	0,000	18	-8	2	24	35	-100					-63	-28	12	29	54	3071					57,46381802	10,91743793	57,47815493	10,91765343
66	25	05	06	15	17	44	08		-0,25	0,40	359,98	0,000	31	25	63	101	-156						-21	-16	-66	30	1214						57,47829859	10,91765469	57,49110002	10,91780003
67	25	05	06	15	22	44	07		-0,20	0,44	0,08	0,000	-73	-46	-51	13	-273						-43	-49	-41	-14	2410						57,49238480	10,91780380	57,50668600	10,91859950
68	25	05	06	15	27	46	05		-0,20	0,59	5,58	0,000	-97	-117	-100	-44	370						-101	-104	-54	-75	2678						57,50678181	10,91862012	57,52106876	10,92196265
69	25	05	06	15	32	45	05		-0,21	0,55	6,21	0,000	-206	-177	-130	-92							-168	-123	-58	691							57,52126113	10,92201026	57,53569996	10,92546671
70	25	05	06	15	37	45	09		-0,18	0,52	5,93	0,000	-203	-212	-195	111							-87	-96	-56	1758							57,53219699	10,92461519	57,54933371	10,92866046
71	25	05	06	15	42	43	01		0,02	0,52	1,38	0,000	-126	-135	-100	40							-61	29	-3	1201							57,54936875	10,92866876	57,55646713	10,92920395
72	25	05	06	15	47	44	00		0,09	0,21	334,48	0,000	-91	-105	-123	1							-44	-76	-37	-5							57,55648624	10,92919515	57,55741957	10,92852082
73	25	05	06	15	52	44	09		0,05	0,23	334,51	0,000	-99	-181	-117	21							-92	-40	-41	20							57,55741806	10,92852015	57,55748335	10,92848335
74	25	05	06	15	57	45	00		0,07	0,18	332,50	0,000	-148	-160	-126	-122							-92	-45	-67	120							57,55748335	10,92848335	57,55754714	10,92807239
75	25	05	06	16	02	47	07		-0,05	-0,20	321,43	0,000	-27	-80	-587								-91	-48	367								57,55746667	10,92831664	57,56624462	10,91031977
76	25	05	06	16	07	45	05		-0,20	-0,47	317,31	0,000	-61	-78	-1249								-19	15	963								57,56631033	10,91018658	57,57618329	10,89014998
77	25	05	06	16	12	45	09		-0,20	-0,44	317,33	0,000	1	46	-1440								-16	-53	1320								57,57391264	10,89473614	57,58368946	10,87512449
78	25	05	06	16	17	43	06		-0,17	-0,29	317,83	0,000	-60	-86	-1251								-70	-110	947								57,58372223	10,87505509	57,59386014	10,85470987
79	25	05	06	16	22	45	08		-0,21	-0,43	316,05	0,000	-204	-242									-56	67									57,59389375	10,85464071	57,60398188	10,83406482
80	25	05	06	16	27	43	05		-0,20	-0,42	316,04	0,000	-120	-380									-2	289									57,60411582	10,83378553	57,61551663	10,81014999
81	25	05	06	16	32	43	06		-0,22	-0,36	326,80	0,000	-183	-578									58	568									57,61436136	10,81250380	57,62545078	10,79575340
82	25	05	06	16	37	44	09		-0,22	-0,28	326,87	0,000	-114	-777									89	914									57,62557324	10,79559146	57,64067844	10,77395576
83	25	05	06	16	42	46	05		-0,21	-0,48	320,77	0,000	-118	-966									72	969									57,64075018	10,77382475	57,65124810	10,75336075
