									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
28	25	05	08	11	27	26	03		105	-64	-118	-48	-58	-115	-134	-182	-171	-92	-127	-88	-28								229	153	119	180	157	75	34	19	22	43	-14	1	22								252	166	168	186	167	137	138	183	172	102	128	88	36								24,60	337,30	315,20	345,10	339,70	303,10	284,20	276,00	277,30	295,10	263,70	270,70	308,20								57,91005000	11,12106663	57,91100001	11,12215066
29	25	05	08	11	32	23	09		110	-96	-148	-46	-26	-87	-114	-126	-93	-19	-113	-61	-71								208	119	130	136	145	99	41	-12	38	102	11	-10	-1								235	153	197	144	147	132	121	127	100	104	114	62	71								27,90	321,10	311,30	341,30	349,80	318,70	289,80	264,60	292,20	349,40	275,60	260,70	269,20								57,91091669	11,12210004	57,91164634	11,12306295
30	25	05	08	11	37	24	05		16	-139	-159	-66	-54	-128	-150	-199	-167	-203	-134	-64	-35								198	88	65	98	130	51	-8	-4	19	41	-43	-11	23								199	165	172	118	141	138	150	199	168	207	141	65	42								4,60	302,30	292,20	326,00	337,40	291,70	266,90	268,80	276,50	281,40	252,20	260,20	303,30								57,91165346	11,12307284	57,91256282	11,12420867
31	25	05	08	11	42	22	03		-4	-79	-140	-50	-32	-78	-167	-168	-156	-123	-131	-55	-20								204	136	135	123	106	43	23	9	40	65	41	-33	5								204	157	194	133	111	89	169	168	161	139	137	64	21								358,90	329,80	314,00	337,90	343,20	298,90	277,80	273,10	284,40	297,90	287,40	239,00	284,00								57,91254622	11,12418579	57,91326178	11,12507586
32	25	05	08	11	47	21	07		87	-103	-86	-6	-30	-76	-141	-180	-137	-121	-128	17	101								172	160	171	165	145	121	78	58	33	70	54	-88	-120								193	190	191	165	148	143	161	189	141	140	139	90	157								26,80	327,20	333,30	357,90	348,30	327,90	299,00	287,90	283,50	300,00	292,90	169,10	139,90								57,91303329	11,12480002	57,91225151	11,12688610
33	25	05	08	11	52	23	08		240	-92	-96	-66	-84	-124	-131	-185	-104	-40	372	1100									87	182	211	149	72	47	-32	6	14	-86	-352	-411									255	204	232	163	111	133	135	185	105	95	512	1174									70,10	333,20	335,50	336,10	310,60	290,80	256,30	271,90	277,70	204,90	133,40	110,50									57,91219569	11,12700303	57,90555119	11,14105630
34	25	05	08	11	57	22	03		87	-102	-98	-29	-54	-77	-130	-92	-23	526	2725										165	234	214	239	151	71	62	53	36	-468	-2367										187	255	235	241	160	105	144	106	43	704	3609										27,80	336,40	335,40	353,10	340,30	312,70	295,50	299,90	327,40	131,70	131,00										57,90507467	11,14205576	57,89458456	11,16239780
35	25	05	08	12	02	24	02		28	-47	-65	-34	-74	-68	-128	-38	38	2078	908										158	177	291	225	142	132	57	-11	-111	-2697	-1413										160	183	298	228	160	148	140	40	117	3405	1680										10,00	345,10	347,40	351,40	332,50	332,70	294,00	253,90	161,10	142,40	147,30										57,89462093	11,16232881	57,88264864	11,18003349
36	25	05	08	12	07	21	09		-24	5	-32	59	64	7	7	-30	112	2106											256	197	236	243	223	134	4	-92	-174	-3471											257	197	238	250	232	134	8	97	207	4060											354,60	1,50	352,30	13,60	16,00	3,00	60,30	198,10	147,20	148,80											57,88284997	11,17979997	57,86689997	11,19778334
37	25	05	08	12	12	23	07		-6	43	-23	96	51	20	-80	-104	-9	2198											168	187	170	232	248	151	54	-57	-61	-3459											168	192	172	251	253	152	97	119	62	4098											358,00	12,90	352,30	22,50	11,60	7,50	304,00	241,30	188,40	147,60											57,86604996	11,19868331	57,85569504	11,20969017
38	25	05	08	12	17	22	08		-116	-31	-53	-1	60	16	-66	-26	-13	2175											166	46	53	183	222	189	69	-9	-112	-3501											203	55	75	183	230	190	95	28	113	4122											325,10	326,00	315,00	359,70	15,10	4,80	316,30	250,90	186,60	148,10											57,85560569	11,20978765	57,84041667	11,22606665
39	25	05	08	12	22	24	03		-64	6	-103	-4	40	73	28	-12	45	876	479										80	47	139	212	213	172	6	-90	-276	-1320	-707										102	47	173	212	217	187	29	91	280	1584	854										321,30	7,30	323,50	358,90	10,60	23,00	77,90	187,60	170,70	146,40	145,90										57,84179851	11,22459562	57,82728332	11,24013333
